N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
148,대한전선,"11,940","11,940",상승200,+1.70%,"1,000","22,262","186,447",6.01,"359,322",29.19,5.85
149,KODEX CD1년금리플러스액티브(합성),"1,022,535","1,022,535",상승55,+0.01%,0,"22,062","2,158",0.00,"7,028",N/A,N/A
150,롯데쇼핑,"77,600","77,600","상승5,500",+7.63%,"5,000","21,952","28,289",8.43,"143,096",-2.27,-7.75
151,코스맥스,"193,200","193,200","하락2,300",-1.18%,500,"21,927","11,350",35.17,"35,303",25.56,20.53
152,SK가스,"231,000","231,000","하락1,500",-0.65%,"5,000","21,357","9,245",7.10,"12,282",11.92,6.74
153,제일기획,"18,310","18,310",하락50,-0.27%,200,"21,064","115,041",24.83,"55,547",10.15,15.12
154,영원무역,"46,650","46,650",보합0,0.00%,500,"20,671","44,311",29.12,"14,336",4.84,12.32
155,ACE 미국30년국채액티브(H),"7,715","7,715",하락20,-0.26%,0,"20,329","263,500",0.00,"1,262,421",N/A,N/A
156,한미사이언스,"29,350","29,350",하락200,-0.68%,500,"20,073","68,392",2.03,"53,554",34.01,7.30
157,ACE 미국S&P500,"20,185","20,185",상승260,+1.30%,0,"20,044","99,300",0.08,"232,891",N/A,N/A
158,TIGER 미국배당다우존스,"11,562","11,562",상승62,+0.54%,0,"19,840","171,600",0.01,"653,134",N/A,N/A
159,아시아나항공,"9,600","9,600",상승10,+0.10%,"5,000","19,775","205,991",2.62,"35,391",-1.88,-53.21
160,현대해상,"22,000","22,000",상승450,+2.09%,500,"19,668","89,400",36.57,"68,229",2.31,15.75
161,한국콜마,"82,500","82,500","하락1,100",-1.32%,500,"19,474","23,605",36.07,"152,306",21.54,12.50
162,CJ대한통운,"85,000","85,000",상승800,+0.95%,"5,000","19,390","22,812",14.07,"15,738",7.80,6.58
163,한전KPS,"42,950","42,950",상승550,+1.30%,200,"19,328","45,000",16.57,"58,962",11.21,13.26
164,TIGER MSCI Korea TR,"14,405","14,405",상승115,+0.80%,0,"19,058","132,300",0.00,"2,179",N/A,N/A
165,씨에스윈드,"43,900","43,900","상승1,150",+2.69%,500,"18,513","42,171",13.52,"335,504",13.01,13.92
166,팬오션,"3,460","3,460",상승85,+2.52%,"1,000","18,496","534,570",15.06,"704,092",6.89,5.17
167,산일전기,"60,500","60,500","상승2,600",+4.49%,500,"18,419","30,445",10.30,"274,192",18.82,29.88
168,아모레퍼시픽홀딩스,"23,000","23,000",하락550,-2.34%,500,"18,275","79,458",9.54,"65,706",8.76,7.57
169,KODEX 코스닥150레버리지,"6,830","6,830",하락60,-0.87%,0,"18,236","267,000",0.41,"17,153,949",N/A,N/A
170,더존비즈온,"59,600","59,600","하락1,200",-1.97%,500,"18,108","30,383",11.89,"93,414",31.92,12.17
171,iM금융지주,"10,490","10,490",상승100,+0.96%,"5,000","17,455","166,393",42.63,"175,103",8.26,3.60
172,신영증권,"105,900","105,900","상승7,500",+7.62%,"5,000","17,410","16,440",7.10,"32,687",14.19,9.27
173,BGF리테일,"100,700","100,700",하락800,-0.79%,"1,000","17,405","17,284",28.00,"22,775",8.92,17.29
174,HL만도,"36,950","36,950",상승600,+1.65%,"1,000","17,351","46,957",27.60,"89,095",13.35,5.47
175,DB하이텍,"39,050","39,050",상승950,+2.49%,"5,000","17,338","44,399",25.93,"70,255",7.58,12.44
176,DL이앤씨,"44,800","44,800","상승1,750",+4.07%,"5,000","17,335","38,694",33.53,"96,233",8.38,4.77
177,호텔신라,"44,100","44,100",상승650,+1.50%,"5,000","17,308","39,248",14.99,"60,049",-28.67,-6.50
178,TIGER 차이나전기차SOLACTIVE,"9,760","9,760",상승175,+1.83%,0,"17,103","175,240",0.08,"750,393",N/A,N/A
179,HD현대인프라코어,"8,820","8,820",상승360,+4.26%,"1,000","16,992","192,656",11.85,"1,216,858",16.04,5.92
180,풍산,"60,500","60,500","하락3,900",-6.06%,"5,000","16,955","28,024",19.50,"266,011",7.18,11.33
181,신세계,"173,200","173,200","상승10,300",+6.32%,"5,000","16,705","9,645",13.06,"101,243",15.82,2.54
182,동원산업,"41,950","41,950",하락800,-1.87%,"1,000","16,622","39,624",2.11,"17,449",24.22,2.74
183,HDC현대산업개발,"25,150","25,150",상승350,+1.41%,"5,000","16,576","65,907",11.96,"231,184",10.64,5.09
184,SK아이이테크놀로지,"23,200","23,200",상승800,+3.57%,"1,000","16,541","71,298",6.10,"51,319",-6.71,-10.41
185,TIGER 25-10 회사채(A+이상)액티브,"54,885","54,885",보합0,0.00%,0,"16,165","29,452",0.14,"81,101",N/A,N/A
186,GS건설,"18,870","18,870",상승980,+5.48%,"5,000","16,149","85,581",23.58,"588,928",6.58,5.63
187,오뚜기,"398,000","398,000","하락4,500",-1.12%,"5,000","15,951","4,008",12.17,"1,678",11.67,6.86
188,코리안리,"8,120","8,120",상승20,+0.25%,500,"15,819","194,821",26.89,"236,532",5.00,9.45
189,에스엘,"33,550","33,550",상승350,+1.05%,500,"15,583","46,449",16.41,"62,183",4.23,17.42
190,대웅제약,"133,600","133,600","하락7,100",-5.05%,"2,500","15,480","11,587",8.75,"28,164",62.58,3.17
191,KODEX 단기채권PLUS,"114,445","114,445",상승5,0.00%,0,"15,478","13,524",0.00,"19,394",N/A,N/A
192,대우건설,"3,670","3,670",상승195,+5.61%,"5,000","15,253","415,623",11.11,"1,474,382",6.52,5.62
193,현대백화점,"67,300","67,300","상승6,000",+9.79%,"5,000","15,229","22,629",22.42,"171,622",-43.62,-0.81
194,ACE 미국나스닥100,"21,860","21,860",상승385,+1.79%,0,"14,952","68,400",0.08,"228,866",N/A,N/A
195,한국앤컴퍼니,"15,420","15,420",상승420,+2.80%,500,"14,639","94,935",9.62,"33,909",4.17,8.28
196,RISE 종합채권(A-이상)액티브,"110,670","110,670",하락85,-0.08%,0,"14,423","13,032",0.00,"1,544",N/A,N/A
197,금호타이어,"4,820","4,820",상승90,+1.90%,"5,000","13,846","287,260",8.82,"115,509",4.26,21.77
198,일진전기,"28,950","28,950",상승200,+0.70%,"1,000","13,805","47,685",7.40,"441,674",29.18,10.60
199,녹십자,"117,400","117,400","하락1,600",-1.34%,"5,000","13,720","11,687",19.67,"12,248",-52.20,-2.06
200,SK리츠,"4,935","4,935",상승20,+0.41%,500,"13,630","276,189",7.91,"58,233","1,233.75",0.10
201,한올바이오파마,"25,950","25,950",하락500,-1.89%,500,"13,556","52,241",7.52,"109,204",-741.43,-1.02
202,영원무역홀딩스,"99,400","99,400",상승800,+0.81%,500,"13,554","13,636",20.27,"3,485",4.06,13.17
203,하이트진로,"19,260","19,260",하락30,-0.16%,"5,000","13,508","70,134",8.97,"27,235",14.32,8.63
204,HD현대마린엔진,"39,000","39,000","하락1,850",-4.53%,"2,500","13,229","33,921",13.09,"316,808",15.87,28.34
205,한솔케미칼,"114,600","114,600","상승2,500",+2.23%,"5,000","12,990","11,335",30.62,"28,795",10.59,13.48
206,OCI홀딩스,"68,300","68,300","상승1,300",+1.94%,"5,000","12,851","18,815",16.61,"107,187",13.65,2.54
207,메리츠 KIS CD금리투자 ETN,"53,810","53,810",하락5,-0.01%,0,"12,834","23,850",0.00,1,N/A,N/A
